class,width,height,red_m1,red_m2,green_m1,green_m2,blue_m1,blue_m2,focus,luminance,luminance_std,red_m3,red_m4,green_m3,green_m4,blue_m3,blue_m4,dif_hues,faces,faces_area,smiles,rule_of_thirds,static_saliency,fps,H2,shackiness,motion_mag,fg_area,shadow_area,focus_diff,entropy,LU3,LU4,E2,E3,E4,F2,mag2,mag3,mag4,sfx1,sfx2,sfx3,sfx4,sfy1,sfy2,sfy3,sfy4
1,1280,720,0.476965917,0.091420128,0.456778073,0.089086911,0.440402757,0.083458849,1,0.460774413,0.088719557,-0.017605177,0.077202612,-0.016189507,0.069691811,-0.016493173,0.07127035,0.073035301,0.0254316,0.000952315,0,0.00318869,0.183538,0.4995005,0.052441082,0.081843403,0.077293877,0.196853,0.0602502,0.104131,0.578001526,-0.016925761,0.073493316,0.23641497,-0.252180335,0.024313304,0.392582033,0.056028465,0.015965049,0.001690466,-0.000578612,0.069808262,-0.001762714,0.001283643,0.000522676,0.031009693,-0.001762714,0.001283643
1,1280,720,0.29758907,0.041361389,0.293042838,0.040243189,0.295706843,0.032681384,1,0.294848069,0.039174667,0.014241306,0.194624573,0.008751992,0.135470375,0.028071405,0.361244842,0.203380925,0.0268367,0.00172306,0.000380662,0.00435373,0.111339,0.499500951,0.118785389,0.073087172,0.062275941,0.123355,0.0438558,0.0697914,0.590047595,0.01267852,0.175171176,0.057029921,-0.157459481,0.017207166,0.108001691,0.038757645,0.00805752,0.00096164,0.00240617,0.027657807,0.00392035,0.000627168,-0.000824484,0.031158842,0.00392035,0.000627168
0,1280,720,0.385841549,0.147464983,0.404871432,0.152421537,0.438083183,0.186307135,0.464582881,0.402846196,0.149560124,-0.00239769,0.004085749,-0.003074698,0.002286913,-0.001565433,-0.001302843,0.136439427,0.0484805,0.00246867,0.00144718,0.00746782,0.099363,0.4995005,0.08922202,0.091027496,0.467979333,0.722099,0.0903549,0.0535154,0.538573374,-0.003383279,0.002859557,0.315870984,-0.139986734,0.007577737,0.197015848,0.440014914,0.016556404,0.001740405,0.004051323,0.347993401,0.002405715,0.001343355,-0.014808136,0.321733144,0.002405715,0.001343355
1,1280,720,0.856524288,0.08816508,0.866220739,0.085727845,0.845767817,0.069197328,0.317588127,0.861125884,0.080882774,0.002707825,-0.005155816,0.002101925,-0.005977129,0.004882595,0.000717596,0.043679185,0.26145,0.0132592,0.000636132,0.040974,0.119102,0.416666667,0.027866085,0.08778626,0.036289413,0.116945,0.0652763,0.273318,0.339327368,0.00240441,-0.005138497,0.538070187,-0.022572069,-0.001730253,0.075598872,0.054006235,0.027801771,0.002623781,0.002444249,0.036309874,0.003840552,0.005262588,0.001788448,0.031478677,0.003840552,0.005262588
0,1280,406,0.362975039,0.039210904,0.383822875,0.043720849,0.413251119,0.048019242,1,0.380872244,0.042106665,0.001272347,-0.001955983,0.002591201,-0.001348192,0.002021055,-0.003209576,0.159289513,0.015738,0.00059234,0.000212675,0.00159048,0.131657,0.5,0.065575727,0.085708209,0.119472692,0.353566,0.0567342,0.0514555,0.60440622,0.002156469,-0.001873998,0.033489426,0.001958335,-0.000453153,0.248727164,0.144272724,0.027757771,0.002733151,0.000648588,0.132872963,-0.002927974,0.003647289,0.003648276,0.040149328,-0.002927974,0.003647289
1,1280,720,0.50884783,0.143534172,0.438972142,0.14682509,0.375685307,0.151878306,0.28596138,0.452509338,0.144120485,-0.001986351,-0.002682555,0.000564321,-0.002569194,0.002851273,-0.001647909,0.133092269,0.296219,0.0317205,0.00124636,0.0095427,0.0819392,0.4995005,0.065389266,0.110095555,0.148337754,0.592358,0.0450427,0.082843,0.598721965,-0.0000398,-0.002921621,0.090757782,-0.221282147,0.055127753,0.115137851,0.20014042,0.030761308,0.004039413,-0.028581795,0.157614386,-0.012153595,0.002703498,-0.003707156,0.104044072,-0.012153595,0.002703498
1,1280,720,0.538905898,0.140838324,0.464501699,0.137424252,0.493821758,0.145696495,0.593439165,0.489959159,0.137729504,-0.010593784,0.028859149,-0.007244734,0.014257042,-0.007519589,0.014718015,0.039848485,0.0151439,0.000633538,0.000504796,0.00179252,0.133504,0.3996004,0.044152536,0.044926805,0.287636974,0.589119,0.0538823,0.0750845,0.566200993,-0.00852432,0.019358307,0.304373045,-0.196462936,0.013917545,0.138657577,0.268760381,0.011120949,0.000227465,0.016005508,0.111924334,0.010188598,0.00200305,-0.00229468,0.290747028,0.010188598,0.00200305
1,1280,720,0.490786827,0.034957273,0.6822023,0.048140131,0.201894643,0.038726879,1,0.570022702,0.035078821,-0.001879494,0.017720239,-0.002806743,-0.000152031,0.004575646,0.009986853,0.056615385,0.0620361,0.0017203,0,0.00426257,0.124845,0.5,0.055260463,0.062566278,0.069475956,0.353536,0.0684541,0.0694319,0.612009756,-0.004304738,0.010568499,0.058762099,-0.000445366,-0.001706599,0.117765829,0.105303201,0.053294116,0.015399348,0.003885438,0.078088847,0.01541562,0.004770337,0.005504536,0.057305031,0.01541562,0.004770337
1,1280,720,0.558839202,0.173339778,0.589208907,0.175793172,0.619657702,0.205963691,0.220176644,0.583479642,0.171711927,-0.001381864,0.001209725,-0.001822225,0.003006435,-0.001095272,-0.000417566,0.085761222,0.0201249,0.000793132,0,0.00212906,0.0804512,0.4995005,0.078828711,0.062456627,0.148281713,0.599816,0.140219,0.154024,0.488542907,-0.001952951,0.00335972,0.288433824,-0.071916838,0.002297132,0.097331536,0.245332844,0.024216124,0.001795737,-0.016835712,0.167854944,-0.007939743,0.004320004,-0.005874444,0.147624539,-0.007939743,0.004320004
1,1280,720,0.45802007,0.201368432,0.438023762,0.196654313,0.389226698,0.178988443,0.588391816,0.438296064,0.194788756,-0.002138727,-0.001703218,-0.001554111,-0.002085626,-0.001146565,-0.002557115,0.120757895,0.532828,0.0457461,0.00715488,0.0760849,0.0927363,0.416666667,0.10685091,0.082070707,0.071605486,0.506332,0.0881055,0.069519,0.565703547,-0.001735876,-0.001920414,0.361243786,-0.152025332,0.00793188,0.282503357,0.317770655,0.102644759,0.034891865,0.002099852,0.083284381,0.110295198,0.07983507,0.012759367,0.184062619,0.110295198,0.07983507
