sfx2,width,E2,focus,rule_of_thirds,mag4,rank_sum,sfy2,E3,sfx3,smiles,sfy1,height,sfx1,green_m2,F4,ufx1,blue_m4,rg2,ufy3,shackiness
0.0698083,1280,0.236415,1,0.00318869,0.00169047,0.0749251,0.0310097,-0.25218,-0.00176271,0,0.000522676,720,-0.000578612,0.0890869,0.00343802,0.0590049,0.0712703,0.251882,0.00752168,0.0818434
0.0276578,1280,0.0570299,1,0.00435373,0.00096164,0.0749251,0.0311588,-0.157459,0.00392035,0.000380662,-0.000824484,720,0.00240617,0.0402432,0.0276493,0.0507785,0.361245,0.277582,0.0247306,0.0730872
0.347993,1280,0.315871,0.464583,0.00746782,0.0017404,0.0749251,0.321733,-0.139987,0.00240572,0.00144718,-0.0148081,720,0.00405132,0.152422,0.0206639,0.328051,-0.00130284,0.221763,0.0305953,0.0910275
0.0363099,1280,0.53807,0.317588,0.040974,0.00262378,0.0625,0.0314787,-0.0225721,0.00384055,0.000636132,0.00178845,720,0.00244425,0.0857278,-0.0050419,0.0237689,0.000717596,0.250036,0.0304321,0.0877863
0.132873,1280,0.0334894,1,0.00159048,0.00273315,0.075,0.0401493,0.00195833,-0.00292797,0.000212675,0.00364828,406,0.000648588,0.0437208,0.007612,0.103794,-0.00320958,0.324275,0.0372764,0.0857082
0.157614,1280,0.0907578,0.285961,0.0095427,0.00403941,0.0749251,0.104044,-0.221282,-0.0121536,0.00124636,-0.00370716,720,-0.0285818,0.146825,0.00814414,0.112904,-0.00164791,0.24933,0.0471349,0.110096
0.111924,1280,0.304373,0.593439,0.00179252,0.000227465,0.0599401,0.290747,-0.196463,0.0101886,0.000504796,-0.00229468,720,0.0160055,0.137424,0.0115399,0.125748,0.014718,0.31833,0.0127594,0.0449268
0.0780888,1280,0.0587621,1,0.00426257,0.0153993,0.075,0.057305,-0.000445366,0.0154156,0,0.00550454,720,0.00388544,0.0481401,0.0023682,0.0453944,0.00998685,0.196944,0.075764,0.0625663
0.167855,1280,0.288434,0.220177,0.00212906,0.00179574,0.0749251,0.147625,-0.0719168,-0.00793974,0,-0.00587444,720,-0.0168357,0.175793,0.00464197,0.10344,-0.000417566,0.160542,0.0333256,0.0624566
0.0832844,1280,0.361244,0.588392,0.0760849,0.0348919,0.0625,0.184063,-0.152025,0.110295,0.00715488,0.0127594,720,0.00209985,0.196654,0.00393835,0.0277941,-0.00255711,0.247842,0.104285,0.0820707
0.0626183,1280,0.14569,1,0.0269428,0.0109112,0.0625,0.0607448,-0.134001,0.0558163,0,0.00214925,720,0.00697918,0.0960017,0.00139009,0.0417095,-0.00128658,0.254805,0.0604945,0.0609725
